,fecha_hora,altura,t_minutos,i_minutos,es_pleamar
95,25/03/21 17:01:00,1.09,35440.0,335.0,True
96,25/03/21 22:21:00,0.81,35760.0,320.0,False
97,26/03/21 04:33:00,1.53,36132.0,372.0,True
98,26/03/21 12:26:00,0.47,36605.0,473.0,False
99,26/03/21 17:45:00,1.13,36924.0,319.0,True
100,26/03/21 23:24:00,0.78,37263.0,339.0,False
101,27/03/21 05:23:00,1.61,37622.0,359.0,True
102,27/03/21 13:25:00,0.44,38104.0,482.0,False
103,27/03/21 18:27:00,1.18,38406.0,302.0,True
104,28/03/21 00:23:00,0.72,38762.0,356.0,False
105,28/03/21 06:12:00,1.68,39111.0,349.0,True
106,28/03/21 14:22:00,0.43,39601.0,490.0,False
107,28/03/21 19:09:00,1.25,39888.0,287.0,True
108,29/03/21 01:17:00,0.63,40256.0,368.0,False
109,29/03/21 07:00:00,1.72,40599.0,343.0,True
110,29/03/21 15:13:00,0.43,41092.0,493.0,False
111,29/03/21 19:50:00,1.33,41369.0,277.0,True
112,30/03/21 02:09:00,0.54,41748.0,379.0,False
113,30/03/21 07:48:00,1.72,42087.0,339.0,True
114,30/03/21 16:01:00,0.45,42580.0,493.0,False
115,30/03/21 20:32:00,1.41,42851.0,271.0,True
116,31/03/21 03:01:00,0.46,43240.0,389.0,False
117,31/03/21 08:39:00,1.67,43578.0,338.0,True
118,31/03/21 16:46:00,0.5,44065.0,487.0,False
119,31/03/21 21:15:00,1.49,44334.0,269.0,True
120,01/03/21 04:00:00,0.41,99.0,-44235.0,False
121,01/04/21 09:33:00,1.57,45072.0,44973.0,True
122,01/04/21 17:29:00,0.56,45548.0,476.0,False
123,01/04/21 22:00:00,1.55,45819.0,271.0,True
124,02/04/21 05:09:00,0.38,46248.0,429.0,False
125,02/04/21 10:32:00,1.45,46571.0,323.0,True
126,02/04/21 18:09:00,0.63,47028.0,457.0,False
127,02/04/21 22:48:00,1.59,47307.0,279.0,True
128,03/04/21 06:23:00,0.36,47762.0,455.0,False
129,03/04/21 11:44:00,1.32,48083.0,321.0,True
130,03/04/21 18:50:00,0.7,48509.0,426.0,False
131,03/04/21 23:41:00,1.6,48800.0,291.0,True
132,04/04/21 07:35:00,0.36,49274.0,474.0,False
133,04/04/21 13:09:00,1.22,49608.0,334.0,True
134,04/04/21 19:31:00,0.76,49990.0,382.0,False
135,05/04/21 00:43:00,1.58,50302.0,312.0,True
136,05/04/21 08:45:00,0.36,50784.0,482.0,False
137,05/04/21 14:26:00,1.14,51125.0,341.0,True
138,05/04/21 20:18:00,0.81,51477.0,352.0,False
139,06/04/21 01:54:00,1.56,51813.0,336.0,True
140,06/04/21 09:56:00,0.37,52295.0,482.0,False
141,06/04/21 15:33:00,1.1,52632.0,337.0,True
142,06/04/21 21:19:00,0.84,52978.0,346.0,False
143,07/04/21 03:08:00,1.56,53327.0,349.0,True
144,07/04/21 11:07:00,0.38,53806.0,479.0,False
145,07/04/21 16:37:00,1.09,54136.0,330.0,True
146,07/04/21 22:45:00,0.85,54504.0,368.0,False
147,08/04/21 04:14:00,1.56,54833.0,329.0,True
148,08/04/21 12:14:00,0.38,55313.0,480.0,False
149,08/04/21 17:40:00,1.1,55639.0,326.0,True
150,09/04/21 00:11:00,0.8,56030.0,391.0,False
151,09/04/21 05:13:00,1.56,56332.0,302.0,True
152,09/04/21 13:13:00,0.4,56812.0,480.0,False
153,09/04/21 18:37:00,1.14,57136.0,324.0,True
154,10/04/21 01:13:00,0.74,57532.0,396.0,False
155,10/04/21 06:05:00,1.55,57824.0,292.0,True
156,10/04/21 14:03:00,0.43,58302.0,478.0,False
157,10/04/21 19:17:00,1.18,58616.0,314.0,True
158,11/04/21 02:01:00,0.68,59020.0,404.0,False
159,11/04/21 06:51:00,1.53,59310.0,290.0,True
160,11/04/21 14:46:00,0.48,59785.0,475.0,False
161,11/04/21 19:46:00,1.23,60085.0,300.0,True
162,12/04/21 02:40:00,0.64,60499.0,414.0,False
163,12/04/21 07:35:00,1.49,60794.0,295.0,True
164,12/04/21 15:22:00,0.53,61261.0,467.0,False
165,12/04/21 20:13:00,1.28,61552.0,291.0,True
166,13/04/21 03:14:00,0.61,61973.0,421.0,False
167,13/04/21 08:16:00,1.43,62275.0,302.0,True
168,13/04/21 15:50:00,0.59,62729.0,454.0,False
169,13/04/21 20:40:00,1.33,63019.0,290.0,True
170,14/04/21 03:43:00,0.58,63442.0,423.0,False
171,14/04/21 08:57:00,1.36,63756.0,314.0,True
172,14/04/21 16:12:00,0.64,64191.0,435.0,False
173,14/04/21 21:07:00,1.38,64486.0,295.0,True
174,15/04/21 04:13:00,0.56,64912.0,426.0,False
175,15/04/21 09:39:00,1.29,65238.0,326.0,True
176,15/04/21 16:30:00,0.67,65649.0,411.0,False
177,15/04/21 21:33:00,1.42,65952.0,303.0,True
178,16/04/21 04:49:00,0.54,66388.0,436.0,False
179,16/04/21 10:22:00,1.21,66721.0,333.0,True
180,16/04/21 16:51:00,0.69,67110.0,389.0,False
181,16/04/21 21:59:00,1.45,67418.0,308.0,True
182,17/04/21 05:33:00,0.53,67872.0,454.0,False
183,17/04/21 11:12:00,1.14,68211.0,339.0,True
184,17/04/21 17:14:00,0.71,68573.0,362.0,False
185,17/04/21 22:27:00,1.48,68886.0,313.0,True
186,18/04/21 06:23:00,0.52,69362.0,476.0,False
187,18/04/21 12:12:00,1.09,69711.0,349.0,True
188,18/04/21 17:38:00,0.73,70037.0,326.0,False
189,18/04/21 23:00:00,1.49,70359.0,322.0,True
190,19/04/21 07:16:00,0.51,70855.0,496.0,False
191,19/04/21 13:12:00,1.05,71211.0,356.0,True
192,19/04/21 18:05:00,0.76,71504.0,293.0,False
193,19/04/21 23:40:00,1.49,71839.0,335.0,True
194,20/04/21 08:10:00,0.49,72349.0,510.0,False
195,20/04/21 14:05:00,1.04,72704.0,355.0,True
196,20/04/21 18:38:00,0.78,72977.0,273.0,False
197,21/04/21 00:29:00,1.48,73328.0,351.0,True
198,21/04/21 09:03:00,0.47,73842.0,514.0,False
199,21/04/21 14:54:00,1.04,74193.0,351.0,True
200,21/04/21 19:23:00,0.8,74462.0,269.0,False
201,22/04/21 01:34:00,1.47,74833.0,371.0,True
202,22/04/21 09:55:00,0.46,75334.0,501.0,False
203,22/04/21 15:40:00,1.06,75679.0,345.0,True
204,22/04/21 20:28:00,0.81,75967.0,288.0,False
205,23/04/21 02:49:00,1.49,76348.0,381.0,True
206,23/04/21 10:48:00,0.44,76827.0,479.0,False
207,23/04/21 16:25:00,1.11,77164.0,337.0,True
208,23/04/21 21:44:00,0.79,77483.0,319.0,False
209,24/04/21 03:57:00,1.54,77856.0,373.0,True
210,24/04/21 11:44:00,0.44,78323.0,467.0,False
211,24/04/21 17:09:00,1.18,78648.0,325.0,True
212,24/04/21 22:55:00,0.74,78994.0,346.0,False
213,25/04/21 04:55:00,1.59,79354.0,360.0,True
214,25/04/21 12:42:00,0.45,79821.0,467.0,False
215,25/04/21 17:53:00,1.27,80132.0,311.0,True
