,Numero de Armónico,E.C.M.,ECM%
0,1,1.9763092093271442,64.2762933813538
1,2,1.932768348019068,62.86019656699571
2,3,0.9823491454457174,31.94933342292547
3,4,0.9797659067456904,31.865317719424528
4,5,0.9754331138212473,31.724400565439815
5,6,0.9732969619172509,31.654925644288607
6,7,0.911775739063563,29.654046353405988
7,8,0.8889339871153855,28.911154936093297
8,9,0.8781384499138356,28.560047369978992
9,10,0.874408535458606,28.438737873124843
10,11,0.8676370673543926,28.21850671272
11,12,0.8654947890060931,28.148832538774972
12,13,0.865261803983902,28.141255073887823
13,14,0.8650045435875341,28.132888091315305
14,15,0.8645800971869115,28.119083651583754
15,16,0.8644204938579454,28.113892808800216
16,17,0.8635401586645289,28.085261315864336
17,18,0.8633846571107345,28.08020387675219
18,19,0.8632235309829013,28.07496350737318
19,20,0.8630873182189668,28.070533405273967
20,21,0.859900120155868,27.9668748903
21,22,0.85547560331202,27.82297456266719
22,23,0.8553582174928697,27.819156776809134
23,24,0.8552010525368715,27.814045238203068
24,25,0.8550220319448993,27.80822288002318
25,26,0.8547190045133602,27.798367397895042
26,27,0.8541816685170862,27.780891404777226
27,28,0.8536551682326112,27.763767825840002
28,29,0.8533526490120481,27.753928872460314
29,30,0.8528179075223928,27.736537261517025
30,31,0.8526088053119786,27.7297365468516
31,32,0.852518600157837,27.726802768612473
32,33,0.8524455602691793,27.724427263155256
33,34,0.8523469651202035,27.721220613764746
34,35,0.8522736176959744,27.71883510620537
35,36,0.8521652827313749,27.71531168490308
36,37,0.8500811832130617,27.647529684271383
37,38,0.8500181459852985,27.64547949934762
38,39,0.8499597998461775,27.64358188457251
39,40,0.8498644646803445,27.640481260915177
40,41,0.8495495752529463,27.630239986360262
41,42,0.8494945688631987,27.62845099158729
42,43,0.8494410133382893,27.626709183870645
43,44,0.8492097118765931,27.619186474093578
44,45,0.8488844813059742,27.60860887040938
45,46,0.8488274106798293,27.60675273965199
46,47,0.8487769020975663,27.60511002886742
47,48,0.8487265310255515,27.603471790383544
48,49,0.8486780191861453,27.601894020464023
49,50,0.8483490608383631,27.591195176794976
50,51,0.8482941180780936,27.58940825146892
51,52,0.8482514320997183,27.588019958353467
52,53,0.8482106518295659,27.58669364534732
53,54,0.8481698888905246,27.585367896007828
54,55,0.84810182001005,27.583154064634236
55,56,0.8474716532352755,27.562658899048092
56,57,0.8474337250374372,27.561425345128406
57,58,0.8473802320897666,27.559685572636283
58,59,0.8458879644407102,27.511151956154826
59,60,0.8458322571672982,27.509340166262636
60,61,0.8457886437137733,27.507921708502632
61,62,0.8457448725507023,27.506498121492097
62,63,0.8457056015249986,27.505220894245667
63,64,0.8456545569796504,27.503560752119714
64,65,0.8455617196863375,27.500541367767532
65,66,0.8453744181291432,27.49444968444987
66,67,0.845310378685027,27.492366904043564
67,68,0.8452768038451685,27.49127493612336
68,69,0.8450628067112692,27.484315021907328
69,70,0.8450184401341094,27.482872070006685
70,71,0.8447486740373329,27.474098359547355
71,72,0.8447157245987992,27.47302673180411
72,73,0.8446885377059288,27.472142521633952
73,74,0.8446560983176875,27.47108748245999
74,75,0.8445154619717103,27.46651351043605
75,76,0.8444906087312489,27.465705198574813
76,77,0.8444528663766406,27.464477688908683
77,78,0.8443906955259849,27.462455681513454
78,79,0.8443497451837223,27.461123837184182
79,80,0.8442858018590548,27.459044182909075
80,81,0.8442615819369204,27.458256468712612
81,82,0.8441918777792878,27.45598945256719
82,83,0.8441694775995386,27.455260922578788
83,84,0.844146282573125,27.454506541475006
84,85,0.8441250521435859,27.45381605573966
85,86,0.8440295861488522,27.45071117708176
86,87,0.8439816702343861,27.449152788666968
87,88,0.8439412440900724,27.447837993036856
88,89,0.8439185591558376,27.44710020186464
89,90,0.8438996541116099,27.446485345564103
90,91,0.8438727789959176,27.44561127544757
91,92,0.8438489383458996,27.44483589646956
