fecha,hora,altura
12/04/2021, 15:22, 0.53
12/04/2021, 20:13, 1.28
13/04/2021, 03:14, 0.61
13/04/2021, 08:16, 1.43
13/04/2021, 15:50, 0.59
13/04/2021, 20:40, 1.33
14/04/2021, 03:43, 0.58
14/04/2021, 08:57, 1.36
14/04/2021, 16:12, 0.64
14/04/2021, 21:07, 1.38
15/04/2021, 04:13, 0.56
15/04/2021, 09:39, 1.29
15/04/2021, 16:30, 0.67
15/04/2021, 21:33, 1.42
16/04/2021, 04:49, 0.54
16/04/2021, 10:22, 1.21
16/04/2021, 16:51, 0.69
16/04/2021, 21:59, 1.45
17/04/2021, 05:33, 0.53
17/04/2021, 11:12, 1.14
17/04/2021, 17:14, 0.71
17/04/2021, 22:27, 1.48
18/04/2021, 06:23, 0.52
18/04/2021, 12:12, 1.09
18/04/2021, 17:38, 0.73
18/04/2021, 23:00, 1.49
19/04/2021, 07:16, 0.51
19/04/2021, 13:12, 1.05
19/04/2021, 18:05, 0.76
19/04/2021, 23:40, 1.49
20/04/2021, 08:10, 0.49
20/04/2021, 14:05, 1.04
20/04/2021, 18:38, 0.78
21/04/2021, 00:29, 1.48
21/04/2021, 09:03, 0.47
21/04/2021, 14:54, 1.04
21/04/2021, 19:23, 0.80
22/04/2021, 01:34, 1.47
22/04/2021, 09:55, 0.46
22/04/2021, 15:40, 1.06
22/04/2021, 20:28, 0.81
23/04/2021, 02:49, 1.49
23/04/2021, 10:48, 0.44
23/04/2021, 16:25, 1.11
23/04/2021, 21:44, 0.79
24/04/2021, 03:57, 1.54
24/04/2021, 11:44, 0.44
24/04/2021, 17:09, 1.18
24/04/2021, 22:55, 0.74
25/04/2021, 04:55, 1.59
25/04/2021, 12:42, 0.45
25/04/2021, 17:53, 1.27
26/04/2021, 00:01, 0.65
26/04/2021, 05:48, 1.63
26/04/2021, 13:40, 0.48
26/04/2021, 18:36, 1.37
27/04/2021, 01:02, 0.54
27/04/2021, 06:40, 1.64
27/04/2021, 14:35, 0.51
27/04/2021, 19:20, 1.49
28/04/2021, 02:02, 0.45
28/04/2021, 07:32, 1.60
28/04/2021, 15:24, 0.56
28/04/2021, 20:04, 1.60
29/04/2021, 03:05, 0.37
29/04/2021, 08:25, 1.52
29/04/2021, 16:09, 0.61
29/04/2021, 20:49, 1.68
30/04/2021, 04:13, 0.32
30/04/2021, 09:22, 1.41
30/04/2021, 16:51, 0.67
30/04/2021, 21:35, 1.74
01/05/2021, 05:22, 0.29
01/05/2021, 10:27, 1.29
01/05/2021, 17:32, 0.72
01/05/2021, 22:24, 1.74
02/05/2021, 06:28, 0.28
02/05/2021, 11:50, 1.19
02/05/2021, 18:12, 0.76
02/05/2021, 23:18, 1.71
03/05/2021, 07:33, 0.29
03/05/2021, 13:18, 1.12
03/05/2021, 18:57, 0.80
04/05/2021, 00:22, 1.64
04/05/2021, 08:36, 0.30
04/05/2021, 14:26, 1.09
04/05/2021, 19:52, 0.83
05/05/2021, 01:37, 1.57
05/05/2021, 09:39, 0.33
05/05/2021, 15:28, 1.08
05/05/2021, 21:03, 0.85
06/05/2021, 02:52, 1.52
06/05/2021, 10:41, 0.36
06/05/2021, 16:27, 1.10
06/05/2021, 22:31, 0.83
07/05/2021, 03:59, 1.49
07/05/2021, 11:42, 0.40
07/05/2021, 17:22, 1.13
07/05/2021, 23:55, 0.77
08/05/2021, 04:56, 1.46
08/05/2021, 12:38, 0.44
08/05/2021, 18:07, 1.19
09/05/2021, 00:57, 0.70
09/05/2021, 05:46, 1.43
09/05/2021, 13:25, 0.49
09/05/2021, 18:42, 1.24
10/05/2021, 01:44, 0.64
10/05/2021, 06:32, 1.39
10/05/2021, 14:04, 0.55
10/05/2021, 19:11, 1.31
11/05/2021, 02:23, 0.59
11/05/2021, 07:15, 1.34
11/05/2021, 14:34, 0.61
11/05/2021, 19:39, 1.37
12/05/2021, 02:58, 0.55
12/05/2021, 07:57, 1.28
12/05/2021, 14:56, 0.66
12/05/2021, 20:05, 1.43
13/05/2021, 03:31, 0.52
13/05/2021, 08:39, 1.22
13/05/2021, 15:14, 0.70
13/05/2021, 20:30, 1.48
14/05/2021, 04:06, 0.50
14/05/2021, 09:21, 1.16
14/05/2021, 15:34, 0.72
14/05/2021, 20:55, 1.53
15/05/2021, 04:46, 0.48
15/05/2021, 10:04, 1.10
15/05/2021, 15:56, 0.74
15/05/2021, 21:22, 1.57
16/05/2021, 05:29, 0.46
16/05/2021, 10:51, 1.05
16/05/2021, 16:17, 0.75
16/05/2021, 21:52, 1.59
17/05/2021, 06:16, 0.44
17/05/2021, 11:45, 1.02
17/05/2021, 16:40, 0.76
17/05/2021, 22:27, 1.60
18/05/2021, 07:04, 0.42
18/05/2021, 12:37, 1.00
18/05/2021, 17:09, 0.76
18/05/2021, 23:08, 1.59
19/05/2021, 07:52, 0.40
19/05/2021, 13:26, 1.00
19/05/2021, 17:47, 0.77
19/05/2021, 23:58, 1.56
20/05/2021, 08:39, 0.39
20/05/2021, 14:12, 1.02
20/05/2021, 18:37, 0.77
21/05/2021, 01:00, 1.52
21/05/2021, 09:26, 0.39
21/05/2021, 14:59, 1.06
21/05/2021, 19:49, 0.77
